Name,Website,http://kspress.com/,wikipedia,phone,fax,Address,editor,twitter,facebook,contact page,user forum
Sedgwick County Post,,http://kspress.com/viewRecord.php?recid=2754,,,,,,,,,
Seneca Courier-Tribune,,http://kspress.com/viewRecord.php?recid=1538,,,,,,,,,
"Shawnee Dispatch - Shawnee,KS",http://www.shawneedispatch.com/,http://kspress.com/viewRecord.php?recid=2742,,(913) 962-3000,,"6301 Pflumm Rd, Shawnee, KS 66216",,,,,
Silhouette,,http://kspress.com/viewRecord.php?recid=1345,,,,,,,,,
Smith County Pioneer,,http://kspress.com/viewRecord.php?recid=385,,,,,,,,,
South Haven New Era,,http://kspress.com/viewRecord.php?recid=387,,,,,,,,,
Spearville News,,http://kspress.com/viewRecord.php?recid=389,,,,,,,,,
Spectator,,http://kspress.com/viewRecord.php?recid=1622,,,,,,,,,
St John News,sjnewsonline.com,,,,,"St John, Kansas",,,,,
St. Francis Herald,,http://kspress.com/viewRecord.php?recid=392,,,,,,,,,
St. John News,,http://kspress.com/viewRecord.php?recid=394,,,,,,,,,
St. Marys Star,,http://kspress.com/viewRecord.php?recid=393,,,,,,,,,
Stafford Courier,,http://kspress.com/viewRecord.php?recid=395,,,,,,,,,
Sterling Bulletin,,http://kspress.com/viewRecord.php?recid=396,,,,,,,,,
Sterling Stir,,http://kspress.com/viewRecord.php?recid=2915,,,,,,,,,
Stockton Sentinel,,http://kspress.com/viewRecord.php?recid=397,,,,,,,,,
Sunflower,http://www.thesunflower.com/,http://kspress.com/viewRecord.php?recid=486,,,,Wichita State University,,,,,
Syracuse Journal,,http://kspress.com/viewRecord.php?recid=399,,,,,,,,,
The_Coffeyville_Journal,???,,https://en.wikipedia.org/wiki/The_Coffeyville_Journal,,,"Coffeyville Journal 




Contact Information
Phone: 251-3300


Address
P.O. Box 849
8th & Elm
Coffeyville, KS 67337",,,,,
The_Daily_Union,http://www.thedailyunion.net/,,https://en.wikipedia.org/wiki/The_Daily_Union,,,,,,,,
The_Hutchinson_News,http://www.hutchnews.com/,,https://en.wikipedia.org/wiki/The_Hutchinson_News,,,,,,,,
The_Monitor,http://kcmonitor.com/,,https://en.wikipedia.org/wiki/The_Monitor_(Kansas_City),,,Kansas_City,,,,,
Tiempos,,http://kspress.com/viewRecord.php?recid=2908,,,,,,,,,
Times-Sentinel,http://tsnews.com,http://kspress.com/viewRecord.php?recid=1255,,,,"Cheney, Kansas",,,,,
Tioga Times,,http://kspress.com/viewRecord.php?recid=3519,,,,,,,,,
Tipton Times,,http://kspress.com/viewRecord.php?recid=3280,,,,,,,,,
Tonganoxie Mirror,http://www.tonganoxiemirror.com/,,,(913) 845-2222,,"520 E 4th St, Tonganoxie, KS 66086",,https://twitter.com/tonganoxie,https://www.facebook.com/TonganoxieMirror,http://www.tonganoxiemirror.com/accounts/login/?next=/submit/letter/,
Topeka Capital-Journal,http://cjonline.com/,http://kspress.com/viewRecord.php?recid=404,https://en.wikipedia.org/wiki/The_Topeka_Capital-Journal,,,"616 SE Jefferson
Topeka KS 66607
(785) 295-1111
1-800-777-7171
Fax (785) 295-1230","letters@cjonline.com Editor and director of audience development: Tomari Quinn
295-1212 | tomari.quinn@cjonline.com",,,,
"Topeka Metro News, The",,http://kspress.com/viewRecord.php?recid=537,,,,,,,,,
Trojan Express,,http://kspress.com/viewRecord.php?recid=2716,,,,,,,,,
Ulysses News,,http://kspress.com/viewRecord.php?recid=406,,,,,,,,,
University Daily Kansan,http://kansan.com/,http://kspress.com/viewRecord.php?recid=2730,https://en.wikipedia.org/wiki/University_Daily_Kansan,,,University of Kansas,,,,,
University Leader,http://tmn.fhsu.edu/,http://kspress.com/viewRecord.php?recid=481,,,,Fort Hays State University,,,,,
Valley Falls Vindicator,,http://kspress.com/viewRecord.php?recid=408,,,,,,,,,
Vantage,,http://kspress.com/viewRecord.php?recid=2916,,,,,,,,,
Wabaunsee County Signal-Enterprise,,http://kspress.com/viewRecord.php?recid=1328,,,,,,,,,
Wamego Smoke Signal,http://www.thewamegosmokesignal.com/,http://kspress.com/viewRecord.php?recid=409,,,,"Wamego, Kansas",,,,,
Wamego Times,,http://kspress.com/viewRecord.php?recid=1530,,,,,,,,,
Washington County News,,http://kspress.com/viewRecord.php?recid=411,,,,,,,,,
Wellington Daily News,wellingtondailynews.com,http://kspress.com/viewRecord.php?recid=29,https://en.wikipedia.org/wiki/The_Wellington_Daily_News,,,"Wellington , Kansas",,,https://www.facebook.com/WellingtonDailyNews,,
Western Kansas World,,http://kspress.com/viewRecord.php?recid=416,,,,,,,,,
Western Star,,http://kspress.com/viewRecord.php?recid=402,,,,,,,,,
Western Times,,http://kspress.com/viewRecord.php?recid=418,,,,,,,,,
Westmoreland Recorder,,http://kspress.com/viewRecord.php?recid=419,,,,,,,,,
Wichita Business Journal,,http://kspress.com/viewRecord.php?recid=1259,,,,,,,,,
Wichita Eagle,http://www.kansas.com/,http://kspress.com/viewRecord.php?recid=969,https://en.wikipedia.org/wiki/The_Wichita_Eagle,316-268-6000,,"825 East Douglas Avenue
Wichita, KS 67202
USA",,https://twitter.com/kansasdotcom,,http://www.kansas.com/opinion/letters/submit/,
WICHITA ESPECTADOR,,http://kspress.com/viewRecord.php?recid=3499,,,,,,,,,
Wilson County Citizen,,http://kspress.com/viewRecord.php?recid=3036,,,,,,,,,
Winfield Daily Courier,http://www.winfieldcourier.com/,http://kspress.com/viewRecord.php?recid=30,https://en.wikipedia.org/wiki/The_Winfield_Daily_Courier,(620) 221-1050 or (800) 532-1605.,(620) 221-1101.,"The Winfield Daily Courier

P.O. Box 543

201 E. 9th Ave.

Winfield, KS 67156",Send letters to the editor to zaccaria@winfieldcourier.com,,https://www.facebook.com/winfieldcourier?ref=stream,https://winfieldcourier-dot-com.bloxcms.com/site/forms/online_services/letter/,
Wyandotte County Business News,,http://kspress.com/viewRecord.php?recid=1769,,,,,,,,,
Wyandotte Daily News,,http://kspress.com/viewRecord.php?recid=428,,,,,,,,,
Wyandotte Echo,,http://kspress.com/viewRecord.php?recid=1534,,,,,,,,,
"Wyandotte West - Kansas City,KS",http://www.wyandottedailynews.com/about,,,: 913-788-5565,,"P. O. Box 12003, Kansas City, KS 66112-12003","Editor Mary Rupert is a skilled, professional, award-winning journalist. She may be reached via email at maryr@WyandottePublishing.com. ",https://twitter.com/WyandotteDaily,https://www.facebook.com/WyandotteDailyNews,,
Yates Center News,,http://kspress.com/viewRecord.php?recid=429,,,,,,,,,
